n,time
188,0.00032973289489746094
189,0.00033092498779296875
190,0.000331878662109375
191,0.0003380775451660156
192,0.00034105777740478516
193,0.0003459453582763672
194,0.00035130977630615234
195,0.00035440921783447266
196,0.00035881996154785156
197,0.0003629922866821289
198,0.00036275386810302734
199,0.0003638267517089844
200,0.0003707408905029297
201,0.00037384033203125
202,0.0003834962844848633
203,0.0003858804702758789
204,0.0003858804702758789
205,0.00039017200469970703
206,0.00039565563201904297
207,0.00040078163146972656
208,0.00040090084075927734
209,0.0004086494445800781
210,0.00041353702545166016
211,0.0004153251647949219
212,0.0004150867462158203
213,0.00041794776916503906
214,0.00042176246643066406
215,0.0004285573959350586
216,0.0004343986511230469
217,0.00043964385986328125
218,0.00044715404510498047
219,0.0004456043243408203
220,0.00044786930084228516
221,0.00045490264892578125
222,0.0004582405090332031
223,0.00046122074127197266
224,0.0004674196243286133
225,0.0004633665084838867
226,0.00047326087951660156
227,0.00047838687896728516
228,0.0004781484603881836
229,0.0004906654357910156
230,0.000499725341796875
231,0.0004929304122924805
232,0.0005092620849609375
233,0.0005339384078979492
234,0.0005360841751098633
235,0.0005370378494262695
236,0.0005372762680053711
237,0.0005285739898681641
238,0.0005359649658203125
239,0.0005385875701904297
240,0.000536799430847168
241,0.0005400180816650391
242,0.0005469322204589844
243,0.0005501508712768555
244,0.0005525350570678711
245,0.00055694580078125
246,0.0005655288696289062
247,0.0005681514739990234
248,0.0005699396133422852
249,0.0005824565887451172
250,0.0005801916122436523
251,0.0005873441696166992
252,0.0005972385406494141
253,0.0005854368209838867
254,0.0005966424942016602
255,0.0006039142608642578
256,0.0006036758422851562
257,0.0006229877471923828
258,0.0006240606307983398
259,0.0006331205368041992
260,0.0006309747695922852
261,0.0006505250930786133
262,0.0006409883499145508
263,0.0006451606750488281
264,0.0006624460220336914
265,0.0006570816040039062
266,0.000664830207824707
267,0.0006742477416992188
268,0.0006824731826782227
269,0.0006732940673828125
270,0.0006853342056274414
271,0.0006880760192871094
272,0.0006930828094482422
273,0.0007026195526123047
274,0.0006964206695556641
275,0.0007035732269287109
276,0.0007120370864868164
277,0.0007264614105224609
278,0.0007181167602539062
279,0.0007295608520507812
280,0.0007257461547851562
281,0.0007383823394775391
282,0.0007455348968505859
283,0.0007475614547729492
284,0.0007531642913818359
285,0.0007687807083129883
286,0.0007714033126831055
287,0.0007717609405517578
288,0.0007741451263427734
289,0.0007804632186889648
290,0.000780940055847168
291,0.0007899999618530273
292,0.0007939338684082031
293,0.000796198844909668
294,0.0007989406585693359
295,0.0008182525634765625
296,0.0008094310760498047
297,0.0008260011672973633
298,0.0008285045623779297
299,0.0008301734924316406
300,0.0008287429809570312
301,0.0008451938629150391
302,0.0008553266525268555
303,0.0008591413497924805
304,0.0008587837219238281
305,0.0008640289306640625
306,0.0008770227432250977
307,0.0008907318115234375
308,0.0008887052536010742
309,0.0008893013000488281
310,0.0008949041366577148
311,0.0009009838104248047
312,0.0009115934371948242
313,0.0009189844131469727
314,0.0009207725524902344
315,0.000922083854675293
316,0.0009257793426513672
317,0.0009330511093139648
318,0.0009397268295288086
319,0.0009680986404418945
320,0.0009468793869018555
321,0.0009465217590332031
322,0.0009524822235107422
323,0.0009557008743286133
324,0.0009670257568359375
325,0.0009951591491699219
326,0.0009903907775878906
327,0.0010006427764892578
328,0.000984787940979004
329,0.0010048151016235352
330,0.0010117292404174805
331,0.0010324716567993164
332,0.0010372400283813477
333,0.0010273456573486328
334,0.0010266304016113281
335,0.0010401010513305664
336,0.0010513067245483398
337,0.0010617971420288086
338,0.0010579824447631836
339,0.0010650157928466797
340,0.0010620355606079102
341,0.001078486442565918
342,0.0010807514190673828
343,0.0010905265808105469
344,0.0010979175567626953
345,0.0011017322540283203
346,0.0011081695556640625
347,0.001119852066040039
348,0.0011261701583862305
349,0.0011292695999145508
350,0.0011314153671264648
351,0.0011403560638427734
352,0.0011407136917114258
353,0.001149892807006836
354,0.001165151596069336
355,0.0011653900146484375
356,0.0011802911758422852
357,0.001196146011352539
358,0.0011881589889526367
359,0.0012058019638061523
360,0.001196742057800293
361,0.0012001991271972656
362,0.0012189149856567383
363,0.0012247562408447266
364,0.0012292861938476562
365,0.0012420415878295898
366,0.0012437105178833008
367,0.0012511014938354492
368,0.001264810562133789
369,0.0012723207473754883
370,0.0012664794921875
371,0.0012760162353515625
372,0.0012947320938110352
373,0.0012890100479125977
374,0.0013259649276733398
375,0.0013194084167480469
376,0.0013326406478881836
377,0.0013195276260375977
378,0.0013257265090942383
379,0.001345515251159668
380,0.001349806785583496
381,0.0013643503189086914
382,0.001374959945678711
383,0.0013774633407592773
384,0.001373291015625
385,0.00138092041015625
386,0.0013904571533203125
387,0.001396775245666504
388,0.001410841941833496
389,0.0014274120330810547
390,0.001453995704650879
391,0.0014420747756958008
392,0.0014591217041015625
393,0.0014624595642089844
394,0.0014520883560180664
395,0.0014672279357910156
396,0.0014929771423339844
397,0.0014821290969848633
398,0.0014841556549072266
399,0.001479029655456543
400,0.0014961957931518555
401,0.0015149116516113281
402,0.001512289047241211
403,0.0015337467193603516
404,0.0015480518341064453
405,0.001550912857055664
406,0.001559138298034668
407,0.0015734434127807617
408,0.0015763044357299805
409,0.0015734434127807617
410,0.0015916824340820312
411,0.0015859603881835938
412,0.0015877485275268555
413,0.001603245735168457
414,0.0016188621520996094
415,0.001609206199645996
416,0.001627802848815918
417,0.0016376972198486328
418,0.0016579627990722656
419,0.0016582012176513672
420,0.0016480684280395508
421,0.0016611814498901367
422,0.0016851425170898438
423,0.0016918182373046875
424,0.001684427261352539
425,0.0016868114471435547
426,0.0016956329345703125
427,0.0016998052597045898
428,0.0017205476760864258
429,0.0017132759094238281
430,0.0017228126525878906
431,0.0017691850662231445
432,0.0017712116241455078
433,0.001764535903930664
434,0.0017807483673095703
435,0.001784205436706543
436,0.0018053054809570312
437,0.001785874366760254
438,0.0017974376678466797
439,0.0018088817596435547
440,0.0018281936645507812
441,0.0018248558044433594
442,0.0018329620361328125
443,0.0018433332443237305
444,0.001845717430114746
445,0.0018554925918579102
446,0.0018683671951293945
447,0.0018945932388305664
448,0.0018898248672485352
449,0.0019081830978393555
450,0.0019283294677734375
451,0.0019192695617675781
452,0.0019391775131225586
453,0.00193023681640625
454,0.0019348859786987305
455,0.0019513368606567383
456,0.001957535743713379
457,0.0019615888595581055
458,0.0019788742065429688
459,0.0019991397857666016
460,0.001986980438232422
461,0.00201261043548584
462,0.0020134449005126953
463,0.0020052194595336914
464,0.002017974853515625
465,0.002010345458984375
466,0.0020189285278320312
467,0.0020334720611572266
468,0.0020471811294555664
469,0.0020630359649658203
470,0.002078413963317871
471,0.0020798444747924805
472,0.0020853281021118164
473,0.0021114349365234375
474,0.00212705135345459
475,0.0021347999572753906
476,0.0021303892135620117
477,0.0021309852600097656
478,0.002164125442504883
479,0.002169013023376465
480,0.0021522045135498047
481,0.0021785497665405273
482,0.002185225486755371
483,0.0022034645080566406
484,0.002226710319519043
485,0.0022391080856323242
486,0.0022401809692382812
487,0.0022614002227783203
488,0.002263665199279785
489,0.002257108688354492
490,0.002267599105834961
491,0.002275705337524414
492,0.00229036808013916
493,0.00231170654296875
494,0.002306699752807617
495,0.002287745475769043
496,0.0022963285446166992
497,0.0023391246795654297
498,0.0023436546325683594
499,0.0023511648178100586
500,0.0023539066314697266
501,0.0023703575134277344
502,0.002384781837463379
503,0.002388596534729004
504,0.0024465322494506836
505,0.0024178028106689453
506,0.002425074577331543
507,0.002443671226501465
508,0.0024515390396118164
509,0.0024451017379760742
510,0.002453923225402832
511,0.002478361129760742
512,0.002498030662536621
513,0.002514481544494629
514,0.0025354623794555664
515,0.0025529861450195312
516,0.002516508102416992
517,0.002534031867980957
518,0.002515554428100586
519,0.002527475357055664
520,0.002535104751586914
521,0.0025479793548583984
522,0.002575993537902832
523,0.0025974512100219727
524,0.0026121139526367188
525,0.002592921257019043
526,0.0026041269302368164
527,0.002629518508911133
528,0.002642989158630371
529,0.0026504993438720703
530,0.0026667118072509766
531,0.00268399715423584
532,0.002696990966796875
533,0.0026804208755493164
534,0.0027009248733520508
535,0.002693653106689453
536,0.0026907920837402344
537,0.0027004480361938477
538,0.0027031898498535156
539,0.0027544498443603516
540,0.002732992172241211
541,0.0027654170989990234
542,0.002803802490234375
543,0.002797245979309082
544,0.0027736425399780273
545,0.002774477005004883
546,0.0027899742126464844
547,0.002841949462890625
548,0.0028235912322998047
549,0.002835512161254883
550,0.002833247184753418
551,0.0028693675994873047
552,0.0028531551361083984
553,0.002879023551940918
554,0.002916097640991211
555,0.0029627084732055664
556,0.002920389175415039
557,0.0030107498168945312
558,0.0029724836349487305
559,0.002995729446411133
560,0.0029805898666381836
561,0.0029691457748413086
562,0.0030478239059448242
563,0.002968311309814453
564,0.0030219554901123047
565,0.0030242204666137695
566,0.003064393997192383
567,0.0030640363693237305
568,0.0030634403228759766
569,0.0030783414840698242
570,0.003052234649658203
571,0.0031054019927978516
572,0.0030999183654785156
573,0.003130674362182617
574,0.00311434268951416
575,0.0031458139419555664
576,0.0031397342681884766
577,0.003133416175842285
578,0.003201723098754883
579,0.0031850337982177734
580,0.0031806230545043945
581,0.0032129287719726562
582,0.0032159090042114258
583,0.0032242536544799805
584,0.003253459930419922
585,0.0032281875610351562
586,0.003270387649536133
587,0.0032733678817749023
588,0.0032912492752075195
589,0.0033273696899414062
590,0.00331878662109375
591,0.003325343132019043
592,0.0033249855041503906
593,0.003373384475708008
594,0.003408670425415039
595,0.0033860206604003906
596,0.0034106969833374023
597,0.0034210681915283203
598,0.0033806562423706055
599,0.0033797025680541992
600,0.0034308433532714844
601,0.0034592151641845703
602,0.003444671630859375
603,0.0034312009811401367
604,0.0034270286560058594
605,0.0034737586975097656
606,0.0034508705139160156
607,0.00349271297454834
608,0.003490447998046875
609,0.003518342971801758
610,0.0035244226455688477
611,0.0035578012466430664
612,0.0035802125930786133
613,0.003608107566833496
614,0.003632068634033203
615,0.0036020278930664062
616,0.0036437511444091797
617,0.0036214590072631836
618,0.0036994218826293945
619,0.0036641359329223633
620,0.0036810636520385742
621,0.00367891788482666
622,0.0037308931350708008
623,0.0037043094635009766
624,0.003738999366760254
625,0.0037467479705810547
626,0.0037267208099365234
627,0.003729581832885742
628,0.003744959831237793
629,0.0037676095962524414
630,0.0038126707077026367
631,0.0037946701049804688
632,0.0038143396377563477
633,0.003853440284729004
634,0.0038470029830932617
635,0.0038547515869140625
636,0.0038634538650512695
637,0.0038532018661499023
638,0.0038814544677734375
639,0.0038743019104003906
640,0.003930211067199707
641,0.0039017200469970703
642,0.003965616226196289
643,0.0039064884185791016
644,0.004010438919067383
645,0.003999233245849609
646,0.004010438919067383
647,0.003969073295593262
648,0.004029750823974609
649,0.004025459289550781
650,0.004063844680786133
651,0.004075884819030762
652,0.004071831703186035
653,0.00411069393157959
654,0.004129528999328613
655,0.004140973091125488
656,0.00414276123046875
657,0.004103302955627441
658,0.0041103363037109375
659,0.004200458526611328
660,0.004212856292724609
661,0.004226565361022949
662,0.004262447357177734
663,0.004253387451171875
664,0.00423121452331543
665,0.004315972328186035
666,0.0042819976806640625
667,0.00424039363861084
668,0.004238724708557129
669,0.004326343536376953
670,0.004380702972412109
671,0.004351139068603516
672,0.004343986511230469
673,0.004380345344543457
674,0.004450321197509766
675,0.004361987113952637
676,0.004442811012268066
677,0.004477262496948242
678,0.004441738128662109
679,0.004515528678894043
680,0.004458785057067871
681,0.004572272300720215
682,0.0045626163482666016
683,0.0044939517974853516
684,0.0044825077056884766
685,0.004517912864685059
686,0.00452268123626709
687,0.004577994346618652
688,0.004582047462463379
689,0.0046138763427734375
690,0.004567623138427734
691,0.004575490951538086
692,0.00470125675201416
693,0.004804491996765137
694,0.00479733943939209
695,0.004659533500671387
696,0.004804849624633789
697,0.0048607587814331055
698,0.004754185676574707
699,0.004927158355712891
700,0.0049484968185424805
701,0.004785776138305664
702,0.0048760175704956055
703,0.004943370819091797
704,0.004791617393493652
705,0.004881381988525391
706,0.004931092262268066
707,0.0047844648361206055
708,0.004983663558959961
709,0.004936695098876953
710,0.004901409149169922
711,0.0049561262130737305
712,0.004906296730041504
713,0.005025148391723633
714,0.004844069480895996
715,0.0050334930419921875
716,0.005174756050109863
717,0.00499570369720459
718,0.005067586898803711
719,0.005072355270385742
