n,time
1,2.384185791015625e-07
2,1.1920928955078125e-06
3,2.384185791015625e-06
4,3.5762786865234375e-06
5,4.76837158203125e-06
6,4.0531158447265625e-06
7,1.3113021850585938e-05
8,8.821487426757812e-06
9,1.0251998901367188e-05
10,1.1682510375976562e-05
11,1.2874603271484375e-05
12,1.430511474609375e-05
13,1.5735626220703125e-05
14,1.6927719116210938e-05
15,1.8596649169921875e-05
16,1.9788742065429688e-05
17,2.1696090698242188e-05
18,2.3126602172851562e-05
19,1.33514404296875e-05
20,1.3828277587890625e-05
21,1.4781951904296875e-05
22,1.5497207641601562e-05
23,1.6450881958007812e-05
24,1.71661376953125e-05
25,1.811981201171875e-05
26,1.8835067749023438e-05
27,1.9788742065429688e-05
28,2.0742416381835938e-05
29,2.1457672119140625e-05
30,2.2172927856445312e-05
31,2.3126602172851562e-05
32,2.384185791015625e-05
33,2.5033950805664062e-05
34,2.574920654296875e-05
35,2.6702880859375e-05
36,2.765655517578125e-05
37,2.86102294921875e-05
38,2.9325485229492188e-05
39,3.0040740966796875e-05
40,3.123283386230469e-05
41,3.1948089599609375e-05
42,3.266334533691406e-05
43,3.361701965332031e-05
44,3.457069396972656e-05
45,3.528594970703125e-05
46,3.62396240234375e-05
47,3.719329833984375e-05
48,3.8504600524902344e-05
49,3.9458274841308594e-05
50,4.00543212890625e-05
51,4.088878631591797e-05
52,4.172325134277344e-05
53,4.291534423828125e-05
54,4.374980926513672e-05
55,4.458427429199219e-05
56,4.553794860839844e-05
57,4.601478576660156e-05
58,4.696846008300781e-05
59,4.792213439941406e-05
60,4.863739013671875e-05
61,4.9591064453125e-05
62,5.054473876953125e-05
63,5.125999450683594e-05
64,5.2928924560546875e-05
65,5.435943603515625e-05
66,5.519390106201172e-05
67,5.614757537841797e-05
68,5.698204040527344e-05
69,5.817413330078125e-05
70,5.984306335449219e-05
71,6.031990051269531e-05
72,6.103515625e-05
73,6.222724914550781e-05
74,6.318092346191406e-05
75,6.437301635742188e-05
76,6.508827209472656e-05
77,6.604194641113281e-05
78,6.723403930664062e-05
79,6.842613220214844e-05
80,6.961822509765625e-05
81,7.009506225585938e-05
82,7.104873657226562e-05
83,7.200241088867188e-05
84,7.295608520507812e-05
85,7.414817810058594e-05
86,7.534027099609375e-05
87,7.605552673339844e-05
88,7.724761962890625e-05
89,7.808208465576172e-05
90,7.915496826171875e-05
91,7.998943328857422e-05
92,8.130073547363281e-05
93,8.225440979003906e-05
94,8.296966552734375e-05
95,8.416175842285156e-05
96,8.594989776611328e-05
97,8.726119995117188e-05
98,8.821487426757812e-05
99,8.893013000488281e-05
100,8.988380432128906e-05
101,9.083747863769531e-05
102,9.179115295410156e-05
103,9.322166442871094e-05
104,9.369850158691406e-05
105,9.572505950927734e-05
106,9.59634780883789e-05
107,9.715557098388672e-05
108,9.751319885253906e-05
109,9.846687316894531e-05
110,9.97781753540039e-05
111,0.00010073184967041016
112,0.00010085105895996094
113,0.00010132789611816406
114,0.00010287761688232422
115,0.00010323524475097656
116,0.0001049041748046875
117,0.00010561943054199219
118,0.0001068115234375
119,0.00010728836059570312
120,0.00010848045349121094
121,0.00010907649993896484
122,0.00010967254638671875
123,0.0001112222671508789
124,0.0001119375228881836
125,0.00011301040649414062
126,0.00011396408081054688
127,0.0001163482666015625
128,0.00011777877807617188
129,0.00011837482452392578
130,0.00011944770812988281
131,0.00012195110321044922
132,0.0001227855682373047
133,0.00012421607971191406
134,0.0001251697540283203
135,0.00012612342834472656
136,0.00012803077697753906
137,0.0001289844512939453
138,0.00013017654418945312
139,0.00013256072998046875
140,0.0001327991485595703
141,0.0001347064971923828
142,0.00013458728790283203
143,0.00013589859008789062
144,0.00013756752014160156
145,0.00013840198516845703
146,0.00013756752014160156
147,0.00013947486877441406
148,0.00014066696166992188
149,0.00014257431030273438
150,0.0001424551010131836
151,0.0001436471939086914
152,0.00014495849609375
153,0.00014543533325195312
154,0.00014734268188476562
155,0.00014901161193847656
156,0.00014972686767578125
157,0.00015044212341308594
158,0.00015079975128173828
159,0.00015354156494140625
160,0.00015306472778320312
161,0.0001533031463623047
162,0.00015461444854736328
163,0.00015592575073242188
164,0.0001571178436279297
165,0.00015795230865478516
166,0.00015878677368164062
167,0.00016021728515625
168,0.00016129016876220703
169,0.00016295909881591797
170,0.000164031982421875
171,0.00016355514526367188
172,0.0001652240753173828
173,0.00016605854034423828
174,0.0001666545867919922
175,0.00016796588897705078
176,0.00016999244689941406
177,0.00017070770263671875
178,0.00017213821411132812
179,0.00017344951629638672
180,0.00017392635345458984
181,0.00017380714416503906
182,0.00017571449279785156
183,0.00017642974853515625
184,0.00017917156219482422
185,0.00017952919006347656
186,0.00018072128295898438
187,0.00018095970153808594
188,0.00018215179443359375
189,0.00018310546875
190,0.00018525123596191406
191,0.00018644332885742188
192,0.00018715858459472656
193,0.00018906593322753906
194,0.0001895427703857422
195,0.00019037723541259766
196,0.00019121170043945312
197,0.00019240379333496094
198,0.0001933574676513672
199,0.00019431114196777344
200,0.00019550323486328125
201,0.00019598007202148438
